epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
111,668.2,0.03768,0.99074,1,0.03162,0.00012467,0.00012467,0.00012467
112,674.203,0.13843,0.98611,1,0.02718,0.000121667,0.000121667,0.000121667
113,680.22,0.05721,0.97685,1,0.03375,0.000118664,0.000118664,0.000118664
114,686.244,0.0399,0.99074,1,0.03311,0.000115661,0.000115661,0.000115661
115,692.303,0.25295,0.99074,1,0.02679,0.000112658,0.000112658,0.000112658
116,698.299,0.11337,0.99074,1,0.02228,0.000109655,0.000109655,0.000109655
117,704.49,0.33739,0.99074,1,0.02443,0.000106652,0.000106652,0.000106652
118,710.551,0.19601,0.99074,1,0.02919,0.000103649,0.000103649,0.000103649
119,716.569,0.17322,0.99074,1,0.02904,0.000100646,0.000100646,0.000100646
120,722.605,0.03623,0.98611,1,0.03867,9.7643e-05,9.7643e-05,9.7643e-05
121,728.648,0.06665,0.98611,1,0.04089,9.464e-05,9.464e-05,9.464e-05
122,734.692,0.04891,0.98148,1,0.03027,9.1637e-05,9.1637e-05,9.1637e-05
123,740.741,0.31778,0.98611,1,0.02931,8.8634e-05,8.8634e-05,8.8634e-05
124,746.78,0.07452,0.98148,1,0.03445,8.5631e-05,8.5631e-05,8.5631e-05
125,752.821,0.10364,0.98611,1,0.02385,8.2628e-05,8.2628e-05,8.2628e-05
126,758.865,0.03849,0.98148,1,0.0311,7.9625e-05,7.9625e-05,7.9625e-05
127,764.906,0.18395,0.98611,1,0.0302,7.6622e-05,7.6622e-05,7.6622e-05
128,771.082,0.05256,0.98611,1,0.01895,7.3619e-05,7.3619e-05,7.3619e-05
129,777.164,0.02549,0.99074,1,0.01698,7.0616e-05,7.0616e-05,7.0616e-05
130,783.27,0.04154,0.99074,1,0.01528,6.7613e-05,6.7613e-05,6.7613e-05
131,789.327,0.01003,0.99074,1,0.0129,6.461e-05,6.461e-05,6.461e-05
132,795.389,0.03128,0.99074,1,0.01382,6.1607e-05,6.1607e-05,6.1607e-05
133,801.43,0.02939,1,1,0.01108,5.8604e-05,5.8604e-05,5.8604e-05
134,807.541,0.06785,1,1,0.00945,5.5601e-05,5.5601e-05,5.5601e-05
135,813.641,0.10842,1,1,0.00669,5.2598e-05,5.2598e-05,5.2598e-05
136,819.718,0.0626,1,1,0.0056,4.9595e-05,4.9595e-05,4.9595e-05
137,825.766,0.01007,1,1,0.00608,4.6592e-05,4.6592e-05,4.6592e-05
138,831.812,0.10803,0.99537,1,0.00763,4.3589e-05,4.3589e-05,4.3589e-05
139,838.019,0.01273,0.99537,1,0.01079,4.0586e-05,4.0586e-05,4.0586e-05
140,844.067,0.06547,0.99537,1,0.01433,3.7583e-05,3.7583e-05,3.7583e-05
141,850.146,0.03814,0.99537,1,0.01399,3.458e-05,3.458e-05,3.458e-05
142,856.203,0.12556,0.99537,1,0.01118,3.1577e-05,3.1577e-05,3.1577e-05
143,862.227,0.02833,0.99537,1,0.01038,2.8574e-05,2.8574e-05,2.8574e-05
144,868.304,0.0099,0.99537,1,0.01114,2.5571e-05,2.5571e-05,2.5571e-05
145,874.37,0.01849,0.99537,1,0.01131,2.2568e-05,2.2568e-05,2.2568e-05
146,880.45,0.08133,0.99537,1,0.01172,1.9565e-05,1.9565e-05,1.9565e-05
147,886.482,0.0385,0.99537,1,0.01221,1.6562e-05,1.6562e-05,1.6562e-05
148,892.586,0.03721,0.99537,1,0.01153,1.3559e-05,1.3559e-05,1.3559e-05
149,898.646,0.00459,0.99537,1,0.01051,1.0556e-05,1.0556e-05,1.0556e-05
150,904.715,0.01272,0.99537,1,0.01386,7.553e-06,7.553e-06,7.553e-06
